Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C7, C9",0603,4,100n,C14663
C10,0603,1,470n,C1623
"C2, C3",0603,2,1n,C309468
C4,0603,1,1n,C1588
"C6, C8",0603,2,10u,C19702
"J1, J2",4mm_Banana_Socket_Deltron_571,2,Lx,C7437325
J3,PinHeader_1x03_P2.54mm_Horizontal,1,GPS,C2886703
L1,0805,1,1uH,C1042
Q1,SOT-23,1,2SC3356,C28646266
"R1, R10, R2, R5, R6, R7, R9",0603,7,10k,C25804
R3,0603,1,2k2,C4190
R4,0603,1,100k,C25803
R8,0603,1,470,C23179
SW1,SW_Push_1P1T_NO_6x6mm,1,Calib.,C455110
U1,SOT-23-5,1,LTC8741,C2888154
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC590,C2652997
