Designator,Mid X,Mid Y,Rotation,Layer
C1,40.7713,14.8082,180.0,top
C10,50.673,47.117,180.0,top
C2,44.0733,16.5862,180.0,top
C3,40.7713,18.3642,180.0,top
C4,45.343299,23.4564,90.0,top
C5,45.343299,26.5552,90.0,top
C6,41.021,28.956,0.0,top
C7,41.021,30.48,0.0,top
C8,49.149,35.56,270.0,top
C9,47.625001,35.56,270.0,top
J1,58.704,28.194,0.0,top
J2,58.704,14.859,0.0,top
J3,55.686,44.069,0.0,top
L1,44.3273,14.859,180.0,top
Q1,44.3273,19.6342,90.0,top
R1,44.0733,13.1826,180.0,top
R10,56.515,38.354,180.0,top
R2,40.7713,13.1826,180.0,top
R3,40.7713,16.5862,180.0,top
R4,43.819299,23.4564,90.0,top
R5,41.025299,27.195701,0.0,top
R6,43.8193,26.5552,90.0,top
R7,52.959,41.783,270.0,top
R8,52.959,48.006,270.0,top
R9,52.959,44.894,90.0,top
SW1,21.336,4.064,0.0,top
U1,41.025299,24.147701,270.0,top
U2,44.704,41.086,180.0,top
